parent snapshot id,id,width,height,spectrum,perspective,name,tag
97659,158751,2454,2056,Visible,0,VIS_SV_0_z1_h1_g0_e85_v500_159999,
97659,158752,2454,2056,Visible,0,VIS_SV_90_z1_h1_g0_e85_v500_160000,
97659,158753,2454,2056,Visible,0,VIS_TV_z1_h0_g0_e100_160001,
99039,166311,2454,2056,Visible,0,VIS_SV_0_z1_h1_g0_e85_v500_167586,
99039,166312,2454,2056,Visible,0,VIS_SV_90_z1_h1_g0_e85_v500_167587,
99039,166313,2454,2056,Visible,0,VIS_TV_z1_h0_g0_e100_167588,
100419,173871,2454,2056,Visible,0,VIS_SV_0_z1_h1_g0_e85_v500_175173,
100419,173872,2454,2056,Visible,0,VIS_SV_90_z1_h1_g0_e85_v500_175174,
100419,173873,2454,2056,Visible,0,VIS_TV_z1_h0_g0_e100_175175,
101799,181431,2454,2056,Visible,0,VIS_SV_0_z1_h1_g0_e85_v500_182760,
101799,181432,2454,2056,Visible,0,VIS_SV_90_z1_h1_g0_e85_v500_182761,
101799,181433,2454,2056,Visible,0,VIS_TV_z1_h0_g0_e100_182762,
103179,188991,2454,2056,Visible,0,VIS_SV_0_z1_h1_g0_e85_v500_190347,
103179,188992,2454,2056,Visible,0,VIS_SV_90_z1_h1_g0_e85_v500_190348,
103179,188993,2454,2056,Visible,0,VIS_TV_z1_h0_g0_e100_190349,
103317,189705,2454,2056,Visible,0,VIS_SV_0_z1_h1_g0_e85_v500_191067,
103317,189706,2454,2056,Visible,0,VIS_SV_90_z1_h1_g0_e85_v500_191068,
103317,189707,2454,2056,Visible,0,VIS_TV_z1_h0_g0_e100_191069,
104697,197265,2454,2056,Visible,0,VIS_SV_0_z1_h1_g0_e85_v500_198654,
104697,197266,2454,2056,Visible,0,VIS_SV_90_z1_h1_g0_e85_v500_198655,
104697,197267,2454,2056,Visible,0,VIS_TV_z1_h0_g0_e100_198656,
106077,204825,2454,2056,Visible,0,VIS_SV_0_z1_h1_g0_e85_v500_206241,
106077,204826,2454,2056,Visible,0,VIS_SV_90_z1_h1_g0_e85_v500_206242,
106077,204827,2454,2056,Visible,0,VIS_TV_z1_h0_g0_e100_206243,
107457,212385,2454,2056,Visible,0,VIS_SV_0_z1_h1_g0_e85_v500_213828,
107457,212386,2454,2056,Visible,0,VIS_SV_90_z1_h1_g0_e85_v500_213829,
107457,212387,2454,2056,Visible,0,VIS_TV_z1_h0_g0_e100_213830,
108836,219939,2454,2056,Visible,0,VIS_SV_0_z1_h1_g0_e85_v500_221409,
108836,219940,2454,2056,Visible,0,VIS_SV_90_z1_h1_g0_e85_v500_221410,
108836,219941,2454,2056,Visible,0,VIS_TV_z1_h0_g0_e100_221411,
110213,227481,2454,2056,Visible,0,VIS_SV_0_z1_h1_g0_e85_v500_228978,
110213,227482,2454,2056,Visible,0,VIS_SV_90_z1_h1_g0_e85_v500_228979,
110213,227483,2454,2056,Visible,0,VIS_TV_z1_h0_g0_e100_228980,
